Skeleton_ID,Skeleton_Comment,Node_ID,X,Y,Z,Radius,Node_Comment,index,From_Soma?,Branch_node?,End_node?,Dendrite_Level,Euclidean_Distance_From_Soma,Sholl_Classification,Parent_ID
118,,15254,25987,4505,949,1.5,.,4022,.,yes,.,secondary,452.2985739530913,Basal,15253
118,,15255,26005,4514,937,1.5,.,4023,.,.,.,secondary,464.42329829585424,Basal,15254
118,,15256,26031,4528,923,1.5,.,4024,.,.,.,secondary,482.71005790225666,Basal,15255
118,,15257,26066,4569,897,1.5,.,4025,.,.,.,secondary,532.4161905877769,Basal,15256
118,,15258,26086,4586,886,1.5,.,4026,.,.,.,secondary,554.2571605311022,Basal,15257
118,,15259,26128,4643,880,1.5,.,4027,.,.,yes,secondary,612.6842579991753,Basal,15258
118,,15260,25979,4521,929,1.5,.,4028,.,.,yes,secondary,476.34231388781745,Basal,15254
118,,15261,26160,4117,1107,1.5,dend_006,4029,yes,.,.,primary,138.6903024728117,Basal,15191
118,,15262,26181,4128,1117,1.5,.,4030,.,.,yes,primary,157.69908052997647,Basal,15261
128,C,16114,5610,3015,905,90.8266,soma,4031,.,yes,.,primary,0.0,Soma,.
128,,16115,5725,3013,889,1.5,dend_001,4032,yes,.,.,primary,116.12493272333896,Basal,16114
128,,16116,5753,3020,897,1.5,.,4033,.,.,.,primary,143.31085094995424,Basal,16115
128,,16117,5776,3017,905,1.5,.,4034,.,.,.,primary,166.01204775557707,Basal,16116
128,,16118,5808,3015,921,1.5,.,4035,.,.,.,primary,198.6454127333425,Basal,16117
128,,16119,5817,3009,931,1.5,.,4036,.,.,yes,primary,208.71272122225804,Basal,16118
128,,16120,5476,3019,908,1.5,dend_002,4037,yes,.,.,primary,134.09325113517085,Apical,16114
128,,16121,5454,3035,934,1.5,.,4038,.,.,.,primary,159.928108848945,Apical,16120
128,,16122,5434,3039,958,1.5,.,4039,.,.,.,primary,185.3672031401456,Apical,16121
128,,16123,5427,3051,976,1.5,.,4040,.,.,.,primary,199.56452590578317,Apical,16122
128,,16124,5384,3057,992,1.5,.,4041,.,.,.,primary,245.78242410717655,Apical,16123
128,,16125,5369,3069,1007,1.5,.,4042,.,.,.,primary,267.20965551416737,Apical,16124
128,,16126,5325,3054,1048,1.5,.,4043,.,.,.,primary,321.23978582983773,Apical,16125
128,,16127,5286,3046,1069,1.5,.,4044,.,.,.,primary,364.4626181105547,Apical,16126
128,,16128,5251,3058,1086,1.5,.,4045,.,.,.,primary,404.3402032942062,Apical,16127
128,,16129,5207,3060,1102,1.5,.,4046,.,.,.,primary,450.82479967277754,Apical,16128
128,,16130,5163,3086,1136,1.5,.,4047,.,.,.,primary,508.14466444114123,Apical,16129
128,,16131,5126,3093,1177,1.5,.,4048,.,.,.,primary,560.6460559033658,Apical,16130
128,,16132,5107,3114,1206,1.5,.,4049,.,.,.,primary,594.4838097038472,Apical,16131
128,,16133,5088,3120,1222,1.5,.,4050,.,.,.,primary,619.6757216480246,Apical,16132
128,,16134,5090,3131,1237,1.5,.,4051,.,.,.,primary,627.757915123338,Apical,16133
128,,16135,5062,3148,1261,1.5,.,4052,.,.,.,primary,666.8800491842592,Apical,16134
128,,16136,5052,3152,1276,1.5,.,4053,.,.,.,primary,683.9400558528503,Apical,16135
128,,16137,5035,3161,1293,1.5,.,4054,.,.,.,primary,708.8617636746956,Apical,16136
128,,16138,5010,3186,1314,1.5,.,4055,.,.,.,primary,746.0040214368821,Apical,16137
128,,16139,4987,3198,1331,1.5,.,4056,.,.,.,primary,776.5912695878058,Apical,16138
128,,16140,4974,3174,1334,1.5,.,4057,.,.,.,primary,783.4653789415331,Apical,16139
128,,16141,4956,3174,1358,1.5,.,4058,.,.,.,primary,811.2989584610596,Apical,16140
128,,16142,4938,3181,1370,1.5,.,4059,.,.,.,primary,833.8854837446206,Apical,16141
128,,16143,4914,3181,1400,1.5,.,4060,.,.,.,primary,870.0557453404925,Apical,16142
128,,16144,4900,3202,1400,1.5,.,4061,.,.,.,primary,885.4908243454587,Apical,16143
128,,16145,4882,3216,1414,1.5,.,4062,.,.,.,primary,910.7502401866277,Apical,16144
128,,16146,4852,3239,1428,1.5,.,4063,.,.,.,primary,947.7705418507161,Apical,16145
128,,16147,4830,3249,1428,1.5,.,4064,.,.,.,primary,967.8248808539694,Apical,16146
128,,16148,4823,3267,1427,1.5,.,4065,.,.,.,primary,977.4236543075883,Apical,16147
128,,16149,4819,3281,1433,1.5,.,4066,.,.,.,primary,987.53278426592,Apical,16148
128,,16150,4800,3281,1433,1.5,.,4067,.,.,.,primary,1002.816034973514,Apical,16149
128,,16151,4778,3298,1439,1.5,.,4068,.,.,.,primary,1028.3331172339049,Apical,16150
128,,16152,4739,3333,1446,1.5,.,4069,.,yes,.,secondary,1073.5203770772123,Apical,16151
128,,16153,4691,3356,1446,1.5,.,4070,.,.,.,secondary,1119.6084136875713,Apical,16152
128,,16154,4659,3374,1446,1.5,.,4071,.,.,.,secondary,1151.5046678151157,Apical,16153
128,,16155,4621,3397,1445,1.5,.,4072,.,.,.,secondary,1189.8088081704557,Apical,16154
128,,16156,4493,3431,1445,1.5,.,4073,.,.,yes,secondary,1308.566009034317,Apical,16155
128,,16157,4753,3326,1456,1.5,.,4074,.,.,.,secondary,1065.2563071862096,Basal,16152
128,,16158,4751,3324,1467,1.5,.,4075,.,.,.,secondary,1072.0102611449202,Basal,16157
128,,16159,4728,3340,1471,1.5,.,4076,.,.,.,secondary,1097.2260478133028,Basal,16158
128,,16160,4715,3343,1476,1.5,.,4077,.,.,yes,secondary,1111.1480549413745,Basal,16159
128,,16161,5686,3101,883,1.5,dend_003,4078,yes,.,.,primary,116.85888926393234,Basal,16114
128,,16162,5715,3115,872,1.5,.,4079,.,.,.,primary,148.70776711389354,Basal,16161
128,,16163,5748,3137,863,1.5,.,4080,.,.,.,primary,188.92326484580983,Basal,16162
128,,16164,5815,3166,860,1.5,.,4081,.,.,.,primary,258.55560330420224,Basal,16163
128,,16165,5853,3176,840,1.5,.,4082,.,.,.,primary,298.6553197249297,Basal,16164
128,,16166,5906,3223,827,1.5,.,4083,.,.,.,primary,370.08647638085887,Basal,16165
128,,16167,5912,3246,827,1.5,.,4084,.,.,.,primary,388.13528569301707,Basal,16166
128,,16168,5927,3263,821,1.5,.,4085,.,.,.,primary,411.15568827391894,Basal,16167
128,,16169,5932,3289,815,1.5,.,4086,.,.,.,primary,432.27306184864216,Basal,16168
128,,16170,5922,3323,815,1.5,.,4087,.,.,.,primary,447.55781749400825,Basal,16169
128,,16171,5911,3357,822,1.5,.,4088,.,.,.,primary,463.0917835591558,Basal,16170
128,,16172,5898,3383,822,1.5,.,4089,.,.,.,primary,474.6124734981161,Basal,16171
128,,16173,5894,3409,822,1.5,.,4090,.,.,.,primary,492.72811975774226,Basal,16172
128,,16174,5887,3423,827,1.5,.,4091,.,.,.,primary,499.27647651376486,Basal,16173
128,,16175,5880,3434,827,1.5,.,4092,.,.,.,primary,504.52452864058057,Basal,16174
128,,16176,5855,3476,834,1.5,.,4093,.,.,.,primary,526.8652579170504,Basal,16175
128,,16177,5856,3502,834,1.5,.,4094,.,.,.,primary,550.2054161856279,Basal,16176
128,,16178,5852,3528,840,1.5,.,4095,.,.,.,primary,570.9273158642876,Basal,16177
128,,16179,5841,3549,840,1.5,.,4096,.,.,.,primary,585.4417135804383,Basal,16178
128,,16180,5833,3574,842,1.5,.,4097,.,.,yes,primary,605.1272593430244,Basal,16179
128,,16181,5624,2880,847,1.5,dend_004,4098,yes,.,.,primary,147.59742545180114,Basal,16114
128,,16182,5624,2840,859,1.5,.,4099,.,.,.,primary,181.4855366138029,Basal,16181
128,,16183,5637,2789,868,1.5,.,4100,.,.,.,primary,230.59488285736091,Basal,16182
128,,16184,5650,2728,868,1.5,.,4101,.,.,.,primary,292.1266848475161,Basal,16183
128,,16185,5676,2680,875,1.5,.,4102,.,.,yes,primary,342.75501455120974,Basal,16184
133,L4 SSN/IN FIN,11823,25264,3983,1188,79.4968,first node,11542,.,yes,.,primary,0.0,Soma,.
133,,11824,25184,3934,1128,6.44972,.,11543,yes,.,.,primary,111.35977729862789,Basal,11823
133,,11825,25132,3933,1061,6.44972,.,11544,.,.,.,primary,189.87627550591992,Basal,11824
133,,11826,25097,3957,1024,6.44972,.,11545,.,yes,.,secondary,235.5015923513045,Basal,11825
133,,11827,25092,3989,1024,2.16,.,11546,.,.,.,secondary,237.73094035064094,Basal,11826
133,,11828,25057,4007,968,2.16,.,11547,.,.,.,secondary,303.0264014900352,Basal,11827
