Skeleton ID,Skeleton Comment,Node ID,X,Y,Z,Radius,Node Comment
,,8116,12163,7999,1080,3.73248,.
,,8117,12159,7871,1075,3.1104,.
,,8118,12183,7819,1075,3.1104,.
,,8119,12187,7767,1075,3.1104,.
,,8120,12217,7646,1084,4.47898,.
,,8121,12251,7555,1112,4.38244,.
,,8122,12284,7504,1131,3.73248,.
,,8123,12309,7373,1122,4.47898,.
,,8124,12327,7260,1152,3.73248,.
,,8125,12310,7129,1171,4.29982,.
,,8126,12315,7057,1234,3.73248,.
,,8127,12348,6983,1291,3.73248,.
,,8128,12367,6927,1335,9.2876,.
,,8129,12376,6864,1440,4.29982,.
,,8130,12021,8605,1265,19.2588,.
,,8131,11785,8541,1403,26.6233,.
,,8151,11987,8069,1265,218.766,First Node
,,8152,12104,8001,1173,31.948,split axon
,,8153,12282,8000,1204,13.3741,.
,,8154,12363,7974,1208,16.049,.
,,8155,12449,7915,1208,11.1451,.
,,8156,12472,7851,1185,4.47898,.
,,8157,12513,7770,1157,5.37477,.
,,8158,12593,7642,1133,5.37477,.
,,8159,12639,7547,1118,6.44972,.
,,8160,12675,7460,1105,6.44972,.
,,8161,12723,7335,1125,7.73967,.
,,8162,12750,7237,1152,5.15978,.
,,8163,12794,7144,1149,7.73967,.
,,8164,12868,7036,1147,11.1451,.
,,8165,12909,6947,1139,6.44972,.
,,8166,12955,6887,1134,5.37477,.
,,8167,13006,6779,1134,5.37477,.
,,8168,13051,6711,1140,6.44972,.
,,8169,13071,6669,1120,7.73967,.
,,8170,13093,6550,1106,4.47898,.
,,8171,13100,6499,1100,6.44972,.
,,8172,13117,6407,1068,5.37477,.
,,8173,13153,6356,1012,4.47898,.
,,8174,13168,6330,965,7.73967,.
,,8175,13172,6280,928,6.44972,.
,,8176,13162,6259,898,3.73248,.
,,8177,12499,7925,1223,6.44972,.
,,8178,12598,7868,1219,5.37477,.
,,8179,12690,7836,1229,6.44972,.
,,8180,12747,7812,1208,6.44972,.
,,8181,12788,7792,1190,9.2876,.
,,8182,12837,7777,1174,9.2876,.
,,8183,12878,7757,1142,5.37477,.
,,8184,12987,7720,1131,4.29982,.
,,8185,13073,7731,1109,7.73967,.
,,8186,13182,7698,1102,7.73967,.
,,8187,13208,7680,1111,7.73967,.
,,8188,13260,7601,1128,6.44972,.
,,8189,13301,7558,1143,6.44972,.
,,8190,13336,7484,1137,9.2876,.
,,8191,13390,7389,1139,5.37477,.
,,8192,13460,7294,1161,6.44972,.
,,8193,13493,7258,1177,6.44972,.
,,8194,13544,7185,1196,7.73967,.
,,8195,13581,7161,1223,7.73967,.
,,8196,13690,7057,1235,6.44972,.
,,8197,13713,7003,1264,6.44972,.
,,8198,13742,6965,1275,7.73967,.
,,8199,13774,6912,1289,7.73967,.
,,8200,13785,6867,1310,9.2876,.
,,8201,13802,6832,1328,5.37477,.
,,8202,13816,6797,1356,9.2876,.
,,8203,13837,6773,1383,5.37477,.
,,8204,13854,6750,1404,5.37477,.
,,8205,13870,6735,1434,6.44972,.
,,8206,13877,6709,1456,7.73967,.
,,8207,13896,6671,1488,6.44972,.
,,8208,13921,6654,1509,7.73967,.
,,8209,13961,6632,1544,4.47898,.
,,8210,14016,6597,1560,6.19174,.
,,8211,13709,7069,1218,3.1104,.
,,8212,13721,7094,1203,3.73248,.
,,8213,12193,7980,1119,16.049,.
,,8214,12299,7967,1070,11.1451,.
,,8215,12380,7964,1017,9.2876,.
,,8216,12527,7931,969,4.47898,.
,,8217,12597,7933,933,4.47898,.
,,8218,12664,7942,896,7.73967,myleinates
,,8219,12743,7970,859,5.37477,.
,,8220,12835,8007,813,6.44972,.
,,8221,12955,8016,751,7.73967,.
,,8222,13076,8031,708,9.2876,.
,,8223,13245,8039,646,9.2876,.
,,8224,13447,8031,537,7.73967,.
,,8225,13492,8043,505,13.3741,.
,,8226,13629,8020,407,7.73967,.
,,8227,13746,7956,327,7.73967,.
,,8228,13814,7946,257,5.37477,DeMyl
,,8229,13878,8020,171,7.73967,ReMyl
,,8230,13911,8036,102,7.73967,.
,,8231,13971,8086,58,7.73967,.
,,8232,14044,8123,16,11.1451,.
,,8233,13506,8036,533,11.1451,.
,,8234,11793,8073,1403,84.4005,.
,,8235,11487,8067,1535,52.9979,.
,,8236,11433,8020,1497,13.3741,.
,,8237,11387,8006,1456,4.47898,start here
,,10454,11428,8078,1590,26.6233,.
,,10455,11229,8141,1731,27.7326,.
,,10456,11492,8266,1551,11.1451,.
,,10457,11523,8399,1527,7.73967,.
,,10458,11522,8465,1491,6.44972,.
,,10459,11528,8646,1459,6.44972,.
,,10460,11556,8851,1481,4.47898,.
,,10461,11559,8934,1511,5.37477,.
,,10462,11580,8969,1541,7.73967,.
,,10463,11589,9058,1583,7.43008,.
,,10464,11611,9099,1607,7.73967,.
,,10465,11608,9177,1639,7.73967,.
,,10466,11615,9242,1669,6.19174,.
,,10467,11635,9295,1719,5.37477,.
,,10468,11619,9338,1749,6.44972,.
,,10469,11631,9386,1779,9.2876,.
,,10470,11477,7917,1564,7.73967,.
,,10471,11490,7851,1604,19.2588,.
,,10472,11506,7617,1614,7.73967,.
,,10473,11521,7594,1656,7.73967,.
,,10474,11543,7556,1720,9.2876,.
,,10475,11570,7528,1784,9.2876,.
,,10476,11893,7890,1419,7.73967,.
,,10477,11938,7778,1489,12.3256,.
,,10478,11948,7651,1489,9.2876,.
,,10479,11943,7570,1443,11.1451,.
,,10480,11942,7457,1385,9.2876,.
,,10481,11944,7340,1345,9.2876,.
,,10482,11934,7262,1319,9.2876,.
,,10483,11931,7135,1291,16.049,.
,,10484,11948,7095,1257,9.2876,.
,,10485,11934,7024,1213,9.2876,.
,,10486,11927,6944,1218,6.44972,.
,,10487,11929,6859,1212,6.44972,.
,,10488,11932,6806,1192,7.73967,.
,,10489,11925,6734,1170,7.73967,.
,,10490,11928,6669,1132,11.1451,.
,,10491,11945,6630,1088,7.73967,.
,,10492,11968,6549,1044,9.2876,.
,,10493,11978,6504,1008,7.73967,.
,,10494,11992,6490,968,9.2876,.
,,10495,11991,6452,914,11.1451,.
,,10496,11998,6372,864,7.73967,.
,,10497,12018,6268,830,6.44972,.
,,10498,12028,6213,788,13.3741,.
